4	 0.000028700	 0.000109000	 0.000577200
4	 0.000035600	 0.000178400	 0.000818700
4	 0.000027200	 0.000143400	 0.000466300
4	 0.000029700	 0.000169700	 0.000788400
4	 0.000029600	 0.000255000	 0.000453500
5	 0.000040500	 0.000219800	 0.000480200
5	 0.000041100	 0.000260600	 0.000612800
5	 0.000076500	 0.000331200	 0.000538300
5	 0.000037800	 0.000185100	 0.000844700
5	 0.000038400	 0.000144600	 0.000575200
6	 0.000112100	 0.000293700	 0.001152500
6	 0.000116000	 0.000768000	 0.001048200
6	 0.000110300	 0.000553900	 0.000806400
6	 0.000151600	 0.000886700	 0.001134400
6	 0.000116800	 0.000275700	 0.000593900
7	 0.000532400	 0.001122700	 0.002899800
7	 0.000570700	 0.002366900	 0.001553900
7	 0.000588100	 0.001358000	 0.001837500
7	 0.000538800	 0.001898000	 0.002017100
7	 0.000584400	 0.001562900	 0.002066300
7	 0.000572600	 0.002345200	 0.001813000
7	 0.000542000	 0.001805600	 0.001978900
8	 0.001440600	 0.005973200	 0.004217400
8	 0.001963200	 0.006457700	 0.003587600
8	 0.002507500	 0.007741500	 0.004948400
8	 0.001480900	 0.006980600	 0.004887200
8	 0.001442000	 0.005151500	 0.003842900
8	 0.002588100	 0.006032600	 0.004607400
9	 0.006083400	 0.010015099	 0.007208300
9	 0.007151299	 0.010274699	 0.008939900
9	 0.006496101	 0.014830599	 0.012481701
9	 0.007044800	 0.013422400	 0.013864000
9	 0.006976601	 0.008377600	 0.011064599
9	 0.007139600	 0.011492601	 0.010695101
10	 0.023098799	 0.043450700	 0.092773101
10	 0.028618101	 0.028738300	 0.023821700
10	 0.043844599	 0.041372700	 0.067918099
10	 0.022234100	 0.029422099	 0.030209599
10	 0.032787300	 0.017753400	 0.020391899
10	 0.030415300	 0.029448300	 0.029666500
10	 0.026570300	 0.029311100	 0.026862800
10	 0.033171299	 0.046287401	 0.056786500
10	 0.025963400	 0.015751100	 0.015939101
11	 0.184597400	 0.084499500	 0.127749099
11	 0.164601399	 0.101511500	 0.146676500
11	 0.171641100	 0.061752099	 0.107827401
11	 0.159053500	 0.120049000	 0.190630400
11	 0.163979801	 0.121663999	 0.202903900
11	 0.158980400	 0.079396000	 0.075004800
11	 0.170829800	 0.045045999	 0.066002801
12	 1.795000400	 0.107821300	 0.168321301
12	 1.826545800	 0.418275500	 0.753281100
12	 1.816934299	 0.506338201	 0.597000001
12	 1.868049800	 0.103152900	 0.164087400
12	 1.862514200	 0.102477901	 0.154473401
12	 1.814270100	 0.092723500	 0.099360000
12	 1.902330499	 0.152546300	 0.269315800
13	 18.553409101	 0.233286600	 0.355274100
13	 18.445395800	 0.372114700	 0.779341900
13	 18.221441000	 4.060707800	 6.692216300
13	 18.234830100	 1.758246200	 3.053934900
13	 18.349405900	 0.649098400	 0.877201200
13	 18.345422300	 1.156912800	 2.672189700
14	 329.100006900	 7.086427300	 12.100213400
