4	 8	 8	 8
4	 12	 11	 11
4	 16	 14	 14
4	 12	 11	 12
4	 13	 13	 13
5	 9	 9	 9
5	 9	 11	 11
5	 12	 13	 13
5	 10	 8	 8
5	 7	 7	 7
6	 13	 11	 11
6	 13	 13	 13
6	 14	 13	 13
6	 20	 19	 18
6	 12	 9	 9
7	 11	 12	 12
7	 12	 11	 11
7	 13	 9	 9
7	 19	 15	 15
7	 11	 14	 14
7	 14	 14	 14
7	 22	 15	 15
8	 21	 15	 15
8	 16	 14	 14
8	 17	 15	 16
8	 22	 17	 17
8	 11	 11	 11
8	 16	 15	 15
9	 22	 14	 14
9	 21	 16	 16
9	 19	 16	 16
9	 20	 20	 20
9	 16	 15	 15
9	 17	 16	 14
10	 19	 21	 21
10	 17	 16	 16
10	 23	 20	 20
10	 14	 17	 14
10	 13	 17	 17
10	 21	 17	 17
10	 22	 19	 19
10	 18	 20	 20
10	 15	 16	 16
11	 17	 16	 18
11	 24	 21	 22
11	 17	 16	 16
11	 19	 17	 17
11	 22	 21	 21
11	 22	 18	 18
11	 18	 17	 15
12	 15	 16	 16
12	 19	 18	 18
12	 19	 19	 19
12	 20	 16	 16
12	 18	 16	 16
12	 17	 17	 13
12	 17	 18	 18
13	 17	 16	 16
13	 18	 18	 18
13	 27	 23	 24
13	 20	 19	 22
13	 17	 18	 18
13	 25	 23	 23
14	 20	 22	 22
